Classification,,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
Nation Total,,"1,767,224","197,365","134,189","58,511","927,517","374,907","5,052","69,683"
Seoul,Seoul Total,"270,231","74,851","2,327","7,035","117,842","51,025",903,"16,248"
,Seoul Jongno-gu,"4,939","1,971",119,149,759,130,0,"1,811"
,Seoul Jung-gu,"4,136","1,766",0,378,458,283,0,"1,251"
,Seoul Yongsan-gu,"5,363","1,654",89,374,"1,610",977,33,626
,Seoul Seongdong-gu,"8,133","3,951",0,202,"2,336","1,409",0,235
,Seoul Gwangjin-gu,"9,297","2,214",0,147,"5,372","1,347",85,132
,Seoul Dongdaemun-gu,"9,566","2,969",0,204,"4,147","1,920",0,326
,Seoul Jungnang-gu,"11,966","2,853",114,276,"6,555","2,010",0,158
,Seoul Seongbuk-gu,"12,033","3,392",190,"1,097","4,611","2,442",37,264
,Seoul Gangbuk-gu,"9,017","1,990",74,196,"5,537","1,092",27,101
,Seoul Dobong-gu,"10,543","2,034",33,74,"5,609","2,560",39,194
,Seoul Nowon-gu,"14,436","3,575",188,20,"4,693","5,640",30,290
,Seoul Eunpyeong-gu,"15,002","1,900",131,232,"10,846","1,778",39,76
,Seoul Seodaemun-gu,"7,311","2,457",0,156,"3,082","1,072",20,524
,Seoul Mapo-gu,"9,703","3,571",0,505,"3,228","1,755",153,491
,Seoul Yangcheon-gu,"13,292","4,014",0,97,"5,753","3,156",16,256
,Seoul Gangseo-gu,"17,685","4,045",292,170,"8,840","3,822",34,482
,Seoul Guro-gu,"13,994","3,524",311,567,"5,842","3,206",117,427
,Seoul Geumcheon-gu,"8,346","2,381",223,855,"3,456","1,035",14,382
,Seoul Yeongdeungpo-gu,"12,052","2,880",123,110,"4,458","2,022",0,"2,459"
,Seoul Dongjak-gu,"9,999","3,362",103,101,"4,291","1,823",49,270
