,Classification,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,Nation Total,"1,686,873","269,500","124,040","51,736","832,749","318,092","5,297","85,459"
Seoul,Seoul Total,"254,538","96,595","1,890","5,878","91,892","38,168","1,042","19,073"
,Seoul Jongno-gu,"4,881","2,316",100,149,370,70,0,"1,876"
,Seoul Jung-gu,"4,459","2,033",0,378,344,205,0,"1,499"
,Seoul Yongsan-gu,"5,221","1,970",89,335,"1,136",904,33,754
,Seoul Seongdong-gu,"8,113","4,613",0,202,"1,790","1,174",0,334
,Seoul Gwangjin-gu,"8,329","2,764",0,20,"4,358","1,006",49,132
,Seoul Dongdaemun-gu,"8,892","3,676",0,204,"3,154","1,473",0,385
,Seoul Jungnang-gu,"10,973","3,684",0,325,"5,232","1,474",26,232
,Seoul Seongbuk-gu,"10,661","4,467",109,897,"3,097","1,764",50,277
,Seoul Gangbuk-gu,"7,985","2,781",74,119,"4,354",529,27,101
,Seoul Dobong-gu,"9,439","2,903",33,67,"4,609","1,634",29,164
,Seoul Nowon-gu,"12,459","4,837",208,0,"3,011","4,013",30,360
,Seoul Eunpyeong-gu,"13,390","3,616",0,356,"8,127","1,114",39,138
,Seoul Seodaemun-gu,"6,937","3,124",0,82,"2,447",731,29,524
,Seoul Mapo-gu,"9,365","4,458",0,227,"2,376","1,312",153,839
,Seoul Yangcheon-gu,"11,908","4,733",0,63,"4,144","2,620",16,332
,Seoul Gangseo-gu,"17,195","4,739",272,233,"7,595","3,256",148,952
,Seoul Guro-gu,"13,058","4,597",299,432,"4,734","2,372",98,526
,Seoul Geumcheon-gu,"7,801","2,944",223,645,"2,789",776,0,424
,Seoul Yeongdeungpo-gu,"12,014","4,008",123,70,"3,375","1,558",0,"2,880"
,Seoul Dongjak-gu,"9,374","3,968",103,101,"3,396","1,487",49,270
,Seoul Gwanak-gu,"11,123","4,644",91,455,"3,711","1,583",16,623
,Seoul Seocho-gu,"10,424","4,998",0,237,"2,101","1,006",82,"2,000"
,Seoul Gangnam-gu,"10,904","4,868",0,0,"3,107","1,081",69,"1,779"
,Seoul Songpa-gu,"16,979","5,606",79,116,"6,707","3,104",79,"1,288"
,Seoul Gangdong-gu,"12,654","4,248",87,165,"5,828","1,922",20,384
Busan,Busan Total,"86,553","14,578","6,906","2,819","44,488","14,055",334,"3,373"
,Busan Jung-gu,906,346,42,0,384,39,0,95
,Busan Seo-gu,"1,901",827,144,178,602,150,0,0
,Busan Dong-gu,"2,073",592,243,140,687,179,0,232
,Busan Yeongdo-gu,"2,582",862,98,436,838,200,0,148
,Busan Busanjin-gu,"7,167","1,440",408,268,"3,340","1,109",49,553
,Busan Dongnae-gu,"6,491","1,266",317,0,"3,893",763,82,170
,Busan Nam-gu,"6,710","1,232",518,133,"3,284","1,141",52,350
,Busan Buk-gu,"7,662",700,515,0,"4,771","1,579",58,39
