Classification,,,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
Nation Total,,Total,"1,450,243 ","186,916 ","96,794 ","43,404 ","738,559 ","321,608 ","4,508 ","58,454 "
,,Male,"749,266 ","96,611 ","50,741 ","22,625 ","381,384 ","165,414 ","2,308 ","30,183 "
,,Female,"700,977 ","90,305 ","46,053 ","20,779 ","357,175 ","156,194 ","2,200 ","28,271 "
Seoul,Seoul Total,Total,"234,867 ","74,098 ","1,878 ","5,337 ","97,215 ","42,804 ",795 ,"12,740 "
,Seoul Total,Male,"120,730 ","38,133 ",960 ,"2,740 ","49,885 ","22,051 ",412 ,"6,549 "
,Seoul Total,Female,"114,137 ","35,965 ",918 ,"2,597 ","47,330 ","20,753 ",383 ,"6,191 "
,Seoul Jongno-gu,Total,"3,783 ","1,647 ",85 ,123 ,453 ,84 ,0 ,"1,391 "
,Seoul Jongno-gu,Male,"1,992 ",855 ,49 ,73 ,223 ,49 ,0 ,743 
,Seoul Jongno-gu,Female,"1,791 ",792 ,36 ,50 ,230 ,35 ,0 ,648 
,Seoul Jung-gu,Total,"3,509 ","1,699 ",0 ,334 ,364 ,248 ,0 ,864 
,Seoul Jung-gu,Male,"1,805 ",874 ,0 ,174 ,180 ,114 ,0 ,463 
,Seoul Jung-gu,Female,"1,704 ",825 ,0 ,160 ,184 ,134 ,0 ,401 
,Seoul Yongsan-gu,Total,"4,753 ","1,631 ",75 ,316 ,"1,274 ",915 ,28 ,514 
,Seoul Yongsan-gu,Male,"2,460 ",821 ,39 ,164 ,656 ,489 ,17 ,274 
,Seoul Yongsan-gu,Female,"2,293 ",810 ,36 ,152 ,618 ,426 ,11 ,240 
,Seoul Seongdong-gu,Total,"7,264 ","3,760 ",0 ,158 ,"1,876 ","1,270 ",0 ,200 
,Seoul Seongdong-gu,Male,"3,744 ","1,970 ",0 ,76 ,977 ,616 ,0 ,105 
,Seoul Seongdong-gu,Female,"3,520 ","1,790 ",0 ,82 ,899 ,654 ,0 ,95 
,Seoul Gwangjin-gu,Total,"7,951 ","2,092 ",0 ,67 ,"4,541 ","1,103 ",55 ,93 
,Seoul Gwangjin-gu,Male,"4,115 ","1,054 ",0 ,31 ,"2,369 ",588 ,27 ,46 
,Seoul Gwangjin-gu,Female,"3,836 ","1,038 ",0 ,36 ,"2,172 ",515 ,28 ,47 
,Seoul Dongdaemun-gu,Total,"8,167 ","2,759 ",0 ,164 ,"3,385 ","1,626 ",0 ,233 
,Seoul Dongdaemun-gu,Male,"4,236 ","1,430 ",0 ,90 ,"1,769 ",838 ,0 ,109 
,Seoul Dongdaemun-gu,Female,"3,931 ","1,329 ",0 ,74 ,"1,616 ",788 ,0 ,124 
,Seoul Jungnang-gu,Total,"10,467 ","2,845 ",79 ,253 ,"5,451 ","1,700 ",0 ,139 
,Seoul Jungnang-gu,Male,"5,411 ","1,448 ",48 ,132 ,"2,846 ",868 ,0 ,69 
,Seoul Jungnang-gu,Female,"5,056 ","1,397 ",31 ,121 ,"2,605 ",832 ,0 ,70 
,Seoul Seongbuk-gu,Total,"10,053 ","3,224 ",122 ,912 ,"3,685 ","1,885 ",23 ,202 
,Seoul Seongbuk-gu,Male,"5,127 ","1,665 ",58 ,481 ,"1,827 ",973 ,13 ,110 
,Seoul Seongbuk-gu,Female,"4,926 ","1,559 ",64 ,431 ,"1,858 ",912 ,10 ,92 
,Seoul Gangbuk-gu,Total,"7,635 ","2,136 ",59 ,132 ,"4,479 ",737 ,27 ,65 
,Seoul Gangbuk-gu,Male,"3,939 ","1,135 ",36 ,87 ,"2,253 ",376 ,14 ,38 
