,,Classification,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,Nation Total,Total,"1,365,085","232,123","86,775","38,538","664,106","273,399","4,121","66,023"
,Nation Total,Male,"705,867","119,993","45,411","20,101","343,060","140,965","2,205","34,132"
,Nation Total,Female,"659,218","112,130","41,364","18,437","321,046","132,434","1,916","31,891"
Seoul,Seoul Total,Total,"217,444","85,465","1,580","4,872","77,121","33,223",850,"14,333"
,Seoul Total,Male,"111,997","43,987",849,"2,529","39,594","17,206",460,"7,372"
,Seoul Total,Female,"105,447","41,478",731,"2,343","37,527","16,017",390,"6,961"
,Seoul Jongno-gu,Total,"3,581","1,747",46,90,294,51,0,"1,353"
,Seoul Jongno-gu,Male,"1,880",894,29,46,146,24,0,741
,Seoul Jongno-gu,Female,"1,701",853,17,44,148,27,0,612
,Seoul Jung-gu,Total,"3,512","1,692",0,310,271,198,0,"1,041"
,Seoul Jung-gu,Male,"1,808",883,0,168,141,95,0,521
,Seoul Jung-gu,Female,"1,704",809,0,142,130,103,0,520
,Seoul Yongsan-gu,Total,"4,610","1,776",77,293,"1,013",813,30,608
,Seoul Yongsan-gu,Male,"2,354",914,39,155,505,399,17,325
,Seoul Yongsan-gu,Female,"2,256",862,38,138,508,414,13,283
,Seoul Seongdong-gu,Total,"7,005","4,012",0,147,"1,531","1,083",0,232
,Seoul Seongdong-gu,Male,"3,588","2,040",0,77,803,543,0,125
,Seoul Seongdong-gu,Female,"3,417","1,972",0,70,728,540,0,107
,Seoul Gwangjin-gu,Total,"7,080","2,510",0,17,"3,574",857,32,90
,Seoul Gwangjin-gu,Male,"3,638","1,244",0,12,"1,856",462,16,48
,Seoul Gwangjin-gu,Female,"3,442","1,266",0,5,"1,718",395,16,42
,Seoul Dongdaemun-gu,Total,"7,568","3,260",0,154,"2,591","1,280",0,283
,Seoul Dongdaemun-gu,Male,"3,864","1,667",0,84,"1,327",639,0,147
