,2016,2017,2018,2019,2020,2021,2022
Seoul Total,"9,805,506","9,741,871","9,673,936","9,639,541","9,586,195","9,472,127","9,417,469"
Seoul Jongno-gu,"154,398","157,277","157,967","154,969","151,291","148,857","147,512"
Seoul Jung-gu,"128,160","127,896","129,797","130,957","128,744","126,310","125,257"
Seoul Yongsan-gu,"224,993","223,898","226,938","227,181","225,882","221,688","219,289"
Seoul Seongdong-gu,"294,744","302,367","306,796","299,688","291,918","286,469","282,131"
Seoul Gwangjin-gu,"363,979","363,934","362,304","359,766","353,967","347,099","346,519"
Seoul Dongdaemun-gu,"359,935","357,380","358,141","355,094","351,057","348,201","350,709"
Seoul Jungnang-gu,"399,317","396,892","391,668","386,331","385,663","380,307","379,127"
Seoul Seongbuk-gu,"451,800","445,417","438,734","445,327","438,833","435,509","436,113"
Seoul Gangbuk-gu,"316,212","313,698","309,138","303,871","299,535","292,611","287,788"
Seoul Dobong-gu,"336,745","332,586","328,243","323,543","315,979","309,200","304,137"
Seoul Nowon-gu,"555,420","543,499","534,096","522,480","511,982","503,929","496,423"
Seoul Eunpyeong-gu,"472,242","466,243","462,552","461,530","463,102","457,385","454,649"
Seoul Seodaemun-gu,"320,258","321,345","318,874","319,394","317,209","314,547","318,308"
Seoul Mapo-gu,"375,142","368,841","368,181","369,327","365,612","365,192","362,408"
Seoul Yangcheon-gu,"460,267","452,111","445,591","440,354","439,068","433,373","426,981"
Seoul Gangseo-gu,"574,287","581,675","578,539","574,097","564,854","559,837","555,999"
Seoul Guro-gu,"442,165","436,869","433,765","435,560","435,442","426,220","424,038"
Seoul Geumcheon-gu,"247,819","249,930","249,344","249,747","249,419","247,398","247,185"
Seoul Yeongdeungpo-gu,"398,120","393,560","395,286","394,083","403,619","402,984","401,805"
Seoul Dongjak-gu,"404,076","400,236","397,980","400,368","392,772","388,094","386,605"
Seoul Gwanak-gu,"515,648","511,222","510,303","507,828","502,641","495,777","496,743"
Seoul Seocho-gu,"419,682","414,550","409,491","404,960","401,749","392,302","383,181"
Seoul Gangnam-gu,"532,469","522,514","507,810","509,199","508,135","503,019","500,149"
Seoul Songpa-gu,"628,212","633,953","638,167","648,600","643,288","634,720","635,758"
Seoul Gangdong-gu,"429,416","423,978","414,231","415,287","444,434","451,099","448,655"
Busan Total,"3,440,484","3,416,918","3,395,278","3,372,692","3,349,016","3,324,335","3,295,760"
Busan Jung-gu,"44,514","43,799","42,766","41,958","41,439","41,539","41,145"
Busan Seo-gu,"109,916","106,924","107,028","105,847","105,303","104,130","104,824"
Busan Dong-gu,"87,065","86,106","84,557","85,673","87,246","86,035","85,918"
Busan Yeongdo-gu,"126,638","123,531","120,731","117,959","113,224","112,834","109,889"
Busan Busanjin-gu,"370,250","366,492","357,723","352,390","351,403","351,201","350,426"
Busan Dongnae-gu,"262,054","261,671","258,386","260,986","263,345","259,838","267,292"
Busan Nam-gu,"279,802","275,941","282,645","278,849","269,111","264,756","258,062"
Busan Buk-gu,"303,445","296,945","291,675","285,098","280,177","279,815","275,580"
Busan Haeundae-gu,"408,042","399,363","396,311","392,846","389,535","386,064","377,199"
Busan Saha-gu,"331,881","330,293","326,655","319,828","312,057","305,790","303,000"
Busan Geumjeong-gu,"247,752","246,891","247,971","244,726","237,219","233,596","227,484"
Busan Gangseo-gu,"106,106","116,702","121,351","128,809","136,734","142,110","143,734"
Busan Yeonje-gu,"201,181","201,053","199,887","203,959","204,947","201,217","199,751"
Busan Suyeong-gu,"172,667","173,059","170,296","170,414","171,461","170,720","170,007"
Busan Sasang-gu,"235,080","231,587","226,961","222,618","216,350","211,788","206,948"
Busan Gijang-gun,"154,091","156,561","160,335","160,732","169,465","172,902","174,501"
Daegu Total,"2,461,002","2,453,041","2,444,412","2,429,940","2,410,700","2,387,911","2,366,852"
Daegu Jung-gu,"77,234","75,324","76,935","75,561","74,278","72,834","77,512"
Daegu Dong-gu,"341,583","340,396","342,396","337,439","333,294","332,637","332,954"
Daegu Seo-gu,"197,210","191,414","183,857","175,243","170,437","165,455","160,754"
Daegu Nam-gu,"155,833","152,785","150,132","147,500","145,588","144,898","142,675"
Daegu Buk-gu,"446,632","445,293","444,759","446,050","446,466","444,446","439,303"
Daegu Suseong-gu,"432,714","425,546","418,834","415,283","412,912","408,085","402,458"
Daegu Dalseo-gu,"596,901","583,043","576,746","574,390","566,712","554,702","545,073"
Daegu Dalseong-gun,"212,895","239,240","250,753","258,474","261,013","264,854","266,123"
Incheon Total,"2,913,024","2,925,967","2,936,117","2,952,237","2,945,454","2,957,044","2,989,125"
Incheon Jung-gu,"113,135","115,153","119,514","131,863","138,586","141,758","150,777"
Incheon Dong-gu,"69,449","68,171","65,185","63,003","61,285","61,053","58,078"
Incheon Michuhol-gu,"416,414","421,851","415,102","411,612","405,886","412,022","415,196"
Incheon Yeonsu-gu,"329,886","337,595","349,963","374,413","390,260","399,594","400,488"
Incheon Namdong-gu,"528,939","534,050","537,389","533,119","528,927","521,165","511,392"
Incheon Bupyong-gu,"544,319","538,236","525,014","514,385","500,812","494,641","498,254"
Incheon Gyeyang-gu,"323,196","318,104","307,598","298,912","292,852","290,967","288,122"
Incheon Seo-gu,"506,040","509,776","532,713","540,655","541,534","551,026","581,069"
Incheon Ganghwa-gun,"62,741","63,737","64,432","65,235","66,020","65,834","66,420"
Incheon Ongjin-gun,"18,905","19,294","19,207","19,040","19,292","18,984","19,329"
Gwangju Total,"1,501,557","1,496,172","1,490,092","1,489,730","1,477,573","1,475,262","1,468,972"
Gwangju Dong-gu,"101,293","100,914","99,870","103,754","106,005","108,676","111,181"
Gwangju Seo-gu,"309,176","306,054","302,189","298,033","294,854","290,565","286,793"
Gwangju Nam-gu,"220,733","219,256","217,345","217,972","214,860","216,266","214,531"
Gwangju Buk-gu,"453,155","450,323","450,023","446,661","439,352","436,997","434,712"
Gwangju Gwangsan-gu,"417,200","419,625","420,665","423,310","422,502","422,758","421,755"
Daejeon Total,"1,535,445","1,525,849","1,511,214","1,498,839","1,488,435","1,479,740","1,473,662"
Daejeon Dong-gu,"243,612","239,752","237,297","237,273","232,559","233,721","231,324"
Daejeon Jung-gu,"246,904","243,540","239,284","234,995","231,959","227,326","224,114"
Daejeon Seo-gu,"491,430","487,449","484,492","480,920","478,629","475,671","474,248"
Daejeon Yuseong-gu,"359,057","366,639","365,833","366,544","368,895","367,288","369,281"
Daejeon Daedeok-gu,"194,442","188,469","184,308","179,107","176,393","175,734","174,695"
Ulsan Total,"1,166,033","1,157,077","1,150,116","1,143,692","1,135,423","1,120,753","1,110,516"
Ulsan Jung-gu,"236,954","233,343","227,054","219,428","214,147","209,555","204,622"
Ulsan Nam-gu,"338,196","333,117","327,561","322,135","320,175","315,307","311,172"
Ulsan Dong-gu,"176,574","172,306","166,992","162,104","159,000","155,578","154,118"
Ulsan Buk-gu,"192,203","196,147","203,675","213,524","217,051","216,149","216,750"
Ulsan Ulju-gun,"222,106","222,164","224,834","226,501","225,050","224,164","223,854"
Sejong Total,"242,507","276,589","312,374","338,136","353,933","366,227","382,589"
Sejong,"242,507","276,589","312,374","338,136","353,933","366,227","382,589"
Gyeonggi Total,"12,671,956","12,851,601","13,103,188","13,300,900","13,511,676","13,652,529","13,717,827"
Gyeonggi Suwon-si,"1,207,032","1,216,996","1,218,843","1,214,986","1,210,150","1,208,337","1,216,349"
Gyeonggi Seongnam-si,"951,518","944,297","931,393","919,895","922,025","913,482","904,690"
Gyeonggi Uijeongbu-si,"424,722","426,530","432,286","440,357","449,572","455,454","455,128"
