Classification,,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
Nation Total,,"1,732,324","230,508","128,810","54,900","886,818","344,412","5,451","81,425"
Seoul,Seoul Total,"263,157","89,293","1,948","5,909","103,278","42,957","1,038","18,734"
,Seoul Jongno-gu,"4,902","2,216",119,149,442,70,0,"1,906"
,Seoul Jung-gu,"4,394","2,000",0,378,419,244,0,"1,353"
,Seoul Yongsan-gu,"5,432","1,970",89,349,"1,297",925,33,769
,Seoul Seongdong-gu,"8,381","4,622",0,202,"1,990","1,234",0,333
,Seoul Gwangjin-gu,"8,696","2,615",0,20,"4,747","1,097",85,132
,Seoul Dongdaemun-gu,"9,344","3,703",0,204,"3,424","1,628",0,385
,Seoul Jungnang-gu,"11,496","3,277",0,276,"6,073","1,698",0,172
,Seoul Seongbuk-gu,"10,887","4,088",109,"1,004","3,547","1,805",57,277
,Seoul Gangbuk-gu,"8,524","2,520",74,157,"4,900",745,27,101
,Seoul Dobong-gu,"10,025","2,415",33,74,"5,322","1,958",29,194
,Seoul Nowon-gu,"13,493","4,376",188,0,"3,636","4,903",30,360
,Seoul Eunpyeong-gu,"13,932","2,788",99,232,"9,358","1,308",39,108
,Seoul Seodaemun-gu,"7,113","2,931",0,156,"2,623",859,20,524
,Seoul Mapo-gu,"9,335","4,354",0,227,"2,497","1,389",153,715
,Seoul Yangcheon-gu,"12,529","4,618",0,63,"4,701","2,815",16,316
,Seoul Gangseo-gu,"17,967","4,330",272,119,"8,372","3,753",103,"1,018"
,Seoul Guro-gu,"13,352","4,045",311,493,"5,242","2,618",117,526
,Seoul Geumcheon-gu,"7,982","2,661",223,649,"3,117",887,14,431
,Seoul Yeongdeungpo-gu,"12,026","3,711",123,40,"3,639","1,786",0,"2,727"
,Seoul Dongjak-gu,"9,554","3,750",103,101,"3,719","1,562",49,270
,Seoul Gwanak-gu,"11,567","4,344",39,455,"4,151","1,902",16,660
,Seoul Seocho-gu,"10,537","4,845",0,237,"2,166","1,212",82,"1,995"
,Seoul Gangnam-gu,"11,565","4,555",0,0,"3,859","1,292",69,"1,790"
,Seoul Songpa-gu,"16,912","4,625",79,156,"7,397","3,288",79,"1,288"
,Seoul Gangdong-gu,"13,212","3,934",87,168,"6,640","1,979",20,384
Busan,Busan Total,"88,222","13,014","7,111","2,870","47,172","14,469",388,"3,198"
,Busan Jung-gu,906,346,42,0,384,39,0,95
,Busan Seo-gu,"2,028",757,144,139,838,150,0,0
,Busan Dong-gu,"2,201",589,254,140,827,139,0,252
,Busan Yeongdo-gu,"2,671",856,98,436,955,178,0,148
,Busan Busanjin-gu,"7,206","1,409",408,260,"3,438","1,104",49,538
,Busan Dongnae-gu,"6,226",849,399,0,"3,942",784,82,170
,Busan Nam-gu,"6,662","1,232",518,182,"3,114","1,214",52,350
,Busan Buk-gu,"7,989",514,515,49,"5,133","1,681",58,39
,Busan Haeundae-gu,"9,991","1,057","1,269",101,"5,592","1,672",19,281
,Busan Saha-gu,"9,914","1,673",890,670,"4,958","1,619",0,104
,Busan Geumjeong-gu,"5,271",778,450,60,"3,132",579,55,217
,Busan Gangseo-gu,"5,332",435,685,0,"2,402","1,390",0,420
,Busan Yeonje-gu,"4,795",412,216,408,"3,024",508,0,227
,Busan Suyeong-gu,"3,885",393,462,176,"2,470",366,0,18
,Busan Sasang-gu,"5,524",978,166,249,"3,009","1,102",0,20
,Busan Gijang-gun,"7,621",736,595,0,"3,954","1,944",73,319
Daegu,Daegu Total,"72,500","5,650","13,889","1,965","39,279","9,127",118,"2,472"
