,Classification,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,National Total,"1,628,260","302,378","119,289","48,839","772,536","290,123","4,958","90,137"
Seoul,Seoul Total,"245,863","101,037","1,861","5,427","82,308","33,972",973,"20,285"
,Seoul Jongno-gu,"4,700","2,216",100,49,344,50,0,"1,941"
,Seoul Jung-gu,"4,305","1,952",0,338,237,220,0,"1,558"
,Seoul Yongsan-gu,"5,169","2,017",89,315,"1,085",812,33,818
,Seoul Seongdong-gu,"7,966","4,840",0,202,"1,457","1,084",0,383
,Seoul Gwangjin-gu,"7,807","2,875",0,0,"3,730",972,49,181
,Seoul Dongdaemun-gu,"8,444","3,709",0,204,"2,868","1,267",0,396
,Seoul Jungnang-gu,"10,652","3,865",0,276,"4,933","1,320",26,232
,Seoul Seongbuk-gu,"10,091","4,565",109,897,"2,705","1,502",49,264
,Seoul Gangbuk-gu,"7,748","2,847",74,119,"4,122",442,43,101
,Seoul Dobong-gu,"8,811","2,883",33,67,"4,138","1,397",29,264
,Seoul Nowon-gu,"11,717","4,900",208,0,"2,766","3,453",30,360
,Seoul Eunpyeong-gu,"12,901","4,104",0,356,"7,268",979,20,174
,Seoul Seodaemun-gu,"6,809","3,221",0,82,"2,299",654,29,524
,Seoul Mapo-gu,"9,093","4,700",0,167,"1,899","1,193",153,981
,Seoul Yangcheon-gu,"11,440","4,708",0,43,"3,919","2,370",16,384
,Seoul Gangseo-gu,"16,062","5,220",272,233,"6,336","2,885",134,982
,Seoul Guro-gu,"12,549","4,902",299,374,"4,227","2,192",78,477
,Seoul Geumcheon-gu,"7,519","2,907",223,645,"2,620",700,0,424
,Seoul Yeongdeungpo-gu,"11,944","4,444",123,66,"2,952","1,430",0,"2,929"
,Seoul Dongjak-gu,"8,966","4,255",83,101,"2,753","1,406",49,319
,Seoul Gwanak-gu,"10,162","4,762",82,375,"3,065","1,239",16,623
,Seoul Seocho-gu,"10,415","5,174",0,237,"1,862",884,82,"2,176"
,Seoul Gangnam-gu,"10,877","4,850",0,0,"2,929","1,001",69,"2,028"
,Seoul Songpa-gu,"16,691","6,163",79,116,"6,196","2,703",48,"1,386"
,Seoul Gangdong-gu,"13,025","4,958",87,165,"5,598","1,817",20,380
Busan,Busan Total,"84,008","17,228","6,528","2,582","40,609","13,191",315,"3,555"
,Busan Jung-gu,885,346,42,0,343,59,0,95
,Busan Seo-gu,"1,817",823,84,178,602,130,0,0
,Busan Dong-gu,"1,846",569,205,140,632,99,0,201
,Busan Yeongdo-gu,"2,403",917,98,381,651,208,0,148
,Busan Busanjin-gu,"6,987","1,477",366,179,"3,282","1,078",49,556
,Busan Dongnae-gu,"6,510","1,738",317,0,"3,555",668,82,150
,Busan Nam-gu,"6,157","1,285",518,133,"2,733","1,086",52,350
,Busan Buk-gu,"7,335",680,443,0,"4,622","1,512",39,39
,Busan Haeundae-gu,"9,630","1,467","1,140",101,"5,228","1,413",0,281
,Busan Saha-gu,"8,935","2,022",790,670,"3,959","1,330",0,164
,Busan Geumjeong-gu,"4,734",986,401,60,"2,571",479,20,217
,Busan Gangseo-gu,"5,877",692,685,0,"2,330","1,644",0,526
,Busan Yeonje-gu,"4,725",917,216,315,"2,482",469,0,326
,Busan Suyeong-gu,"3,546",721,462,176,"1,845",324,0,18
,Busan Sasang-gu,"4,862","1,228",166,249,"2,273",926,0,20
,Busan Gijang-gun,"7,759","1,360",595,0,"3,501","1,766",73,464
Daegu,Daegu Total,"66,727","9,673","12,369","1,419","33,303","7,305",118,"2,540"
,Daegu Jung-gu,"1,814",314,240,71,811,151,0,227
,Daegu Dong-gu,"10,446","1,328","1,598",203,"5,751","1,006",20,540
,Daegu Seo-gu,"4,711",827,304,217,"2,929",395,0,39
,Daegu Nam-gu,"3,153",365,"1,367",216,950,137,20,98
,Daegu Buk-gu,"12,903","1,397","2,377",119,"6,977","1,705",20,308
,Daegu Suseong-gu,"8,975","1,596","3,043",242,"2,780",665,39,610
,Daegu Dalseo-gu,"14,765","1,978","2,025",351,"7,889","2,079",0,443
,Daegu Dalseong-gun,"9,960","1,868","1,415",0,"5,216","1,167",19,275
Incheon,Incheon Total,"88,002","13,573","1,106","1,104","49,667","17,417",200,"4,935"
,Incheon Jung-gu,"4,611","1,230",77,55,"1,011","1,144",0,"1,094"
,Incheon Dong-gu,"1,895",654,0,0,813,264,0,164
,Incheon Michuhol-gu,"11,244","1,397",251,251,"7,458","1,433",20,434
,Incheon Yeonsu-gu,"11,348","2,717",0,49,"4,442","3,145",0,995
,Incheon Namdong-gu,"15,727","2,441",258,154,"9,497","2,858",0,519
,Incheon Bupyong-gu,"14,336","1,536",400,142,"8,621","2,964",102,571
,Incheon Gyeyang-gu,"8,875",834,0,0,"6,303","1,511",47,180
,Incheon Seo-gu,"18,597","2,032",120,393,"11,162","4,078",31,781
,Incheon Ganghwa-gun,836,396,0,60,321,20,0,39
,Incheon Ongjin-gun,533,336,0,0,39,0,0,158
Gwangju,Gwangju Total,"55,020","5,284","11,189","1,732","25,796","8,778",189,"2,052"
,Gwangju Dong-gu,"3,522",473,804,200,"1,377",177,0,491
,Gwangju Seo-gu,"9,196","1,087","1,793",92,"3,716","1,997",90,421
,Gwangju Nam-gu,"6,888",729,"1,618",538,"2,981",915,19,88
,Gwangju Buk-gu,"15,550","1,387","3,709",640,"7,085","2,128",0,601
,Gwangju Gwangsan-gu,"19,864","1,608","3,265",262,"10,637","3,561",80,451
Daejeon,Daejeon Total,"45,160","4,442","3,679",701,"18,007","13,100",280,"4,951"
,Daejeon Dong-gu,"7,267",911,"1,074",129,"3,522","1,444",20,167
,Daejeon Jung-gu,"6,231",841,488,102,"3,114","1,463",63,160
,Daejeon Seo-gu,"13,099",783,496,207,"5,332","4,833",112,"1,336"
,Daejeon Yuseong-gu,"13,313",749,"1,096",112,"4,325","3,999",85,"2,947"
,Daejeon Daedeok-gu,"5,250","1,158",525,151,"1,714","1,361",0,341
Ulsan,Ulsan Total,"37,491","4,789","1,000",422,"23,203","5,302",281,"2,494"
,Ulsan Jung-gu,"6,467",418,204,0,"4,449",738,0,658
,Ulsan Nam-gu,"8,306","1,289",54,0,"4,724","1,565",242,432
,Ulsan Dong-gu,"6,562",756,0,0,"4,643",716,0,447
,Ulsan Buk-gu,"8,792","1,369",145,156,"5,117","1,670",39,296
,Ulsan Ulju-gun ,"7,364",957,597,266,"4,270",613,0,661
Sejong,Sejong Total,"19,532","4,301",769,397,"8,043","3,037",0,"2,985"
,Sejong,"19,532","4,301",769,397,"8,043","3,037",0,"2,985"
Gyeonggi,Gyeonggi Total,"455,556","73,091","5,557","8,997","237,263","107,293","1,995","21,360"
,Gyeonggi Suwon-si,"36,224","4,196",260,544,"17,833","10,555",89,"2,747"
,Gyeonggi Seongnam-si,"25,702","6,648",84,941,"7,696","5,404",222,"4,707"
,Gyeonggi Uijeongbu-si,"15,731","2,278",67,138,"8,634","4,146",20,448
,Gyeonggi Anyang-si,"16,197","2,468",103,54,"8,190","4,731",84,567
,Gyeonggi Bucheon-si,"22,277","2,883",229,924,"12,317","5,043",156,725
,Gyeonggi Gwangmyeong-si,"8,912","2,257",56,178,"3,568","2,506",93,254
,Gyeonggi Pyeongtaek-si,"19,447","2,761",257,321,"11,721","3,352",31,"1,004"
,Gyeonggi Dongducheon-si,"3,389",553,49,63,"2,102",622,0,0
,Gyeonggi Ansan-si,"21,842","2,935",0,501,"13,871","3,886",62,587
,Gyeonggi Goyang-si,"29,783","5,607",157,196,"14,316","7,635",236,"1,636"
,Gyeonggi Gwacheon-si,"2,710",784,84,0,429,317,154,942
,Gyeonggi Guri-si,"5,607","1,074",0,219,"2,383","1,821",0,110
,Gyeonggi Namyangju-si,"26,142","4,216",282,919,"14,300","6,309",39,77
,Gyeonggi Osan-si,"9,655","2,952",43,204,"3,494","2,763",0,199
,Gyeonggi Siheung-si,"20,925","4,517",369,176,"10,686","4,822",0,355
,Gyeonggi Gunpo-si,"8,768","1,633",49,168,"4,365","2,063",60,430
,Gyeonggi Uiwang-si,"5,565","1,276",475,448,"1,741","1,312",79,234
,Gyeonggi Hanam-si,"10,600","2,718",0,50,"4,992","2,477",245,118
,Gyeonggi Yongin-si,"38,301","3,182",507,"1,110","22,360","9,009",169,"1,964"
,Gyeonggi Paju-si,"16,393","1,755",433,39,"8,501","4,298",39,"1,328"
,Gyeonggi Icheon-si,"9,737","1,069",0,96,"7,263",826,20,463
,Gyeonggi Anseong-si,"7,760",846,225,205,"5,001","1,483",0,0
,Gyeonggi Gimpo-si,"16,903","3,070",639,0,"7,616","5,410",20,148
,Gyeonggi Hwaseong-si,"34,432","5,550",763,395,"16,740","9,796",0,"1,188"
,Gyeonggi Gwangju-si,"17,634","1,715",58,529,"12,050","3,090",38,154
,Gyeonggi Yangju-si,"10,094","1,403",0,116,"6,083","2,202",0,290
,Gyeonggi Pocheon-si,"5,094",964,0,128,"3,058",502,139,303
,Gyeonggi Yeoju-si,"3,572",262,158,67,"2,657",373,0,55
,Gyeonggi Yeoncheon-gun,"1,169",352,85,78,369,135,0,150
,Gyeonggi Gapyeong-gun,"1,718",365,74,115,846,215,0,103
,Gyeonggi Yangpyeong-gun,"3,273",802,51,75,"2,081",190,0,74
Gangwon,Gangwon Total,"48,591","8,511","8,225","2,361","19,428","6,663",100,"3,303"
,Gangwon Chuncheon-si,"9,673","1,417","1,203",652,"3,755","1,874",50,722
,Gangwon Wonju-si,"12,355","1,745",905,375,"5,917","2,395",30,988
,Gangwon Gangneung-si,"6,233",627,"1,323",88,"3,205",627,20,343
,Gangwon Donghae-si,"3,014",200,738,223,"1,156",601,0,96
,Gangwon Taebaek-si,"1,341",689,163,75,184,80,0,150
,Gangwon Sokcho-si,"2,807",622,540,144,"1,068",334,0,99
,Gangwon Samcheok-si,"1,734",454,201,0,749,301,0,29
,Gangwon Hongcheon-gun,"2,104",199,347,179,"1,107",104,0,168
,Gangwon Hoengseong-gun,"1,297",115,642,89,331,60,0,60
,Gangwon Yeongwol-gun,713,99,355,125,94,40,0,0
,Gangwon Pyongchang-gun,885,394,147,99,225,20,0,0
,Gangwon Jeongseon-gun,999,356,624,0,0,19,0,0
,Gangwon Cheolwon-gun,"1,553",154,182,64,964,32,0,157
,Gangwon Hwacheon-gun,840,337,120,0,230,60,0,93
,Gangwon Yanggu-gun,833,144,388,91,83,20,0,107
,Gangwon Inje-gun,"1,090",353,138,100,131,77,0,291
,Gangwon Goseong-gun,599,409,0,0,190,0,0,0
,Gangwon Yangyang-gun,521,197,209,57,39,19,0,0
North Chungcheong,North Chungcheong Total,"58,541","7,207","9,909","2,415","28,762","7,456",94,"2,698"
,North Chungcheong Cheongju-si,"34,536","2,926","4,053",873,"18,933","5,919",0,"1,832"
,North Chungcheong Chungju-si,"7,004",926,"1,422",166,"3,792",587,20,91
,North Chungcheong Jecheon-si,"3,693",747,689,423,"1,407",179,0,248
,North Chungcheong Boeun-gun,511,99,140,0,247,0,0,25
,North Chungcheong Okcheon-gun,"1,065",286,212,70,434,37,0,26
,North Chungcheong Yeongdong-gun,"1,054",201,551,49,189,0,39,25
,North Chungcheong Jincheon-gun,"3,845",934,680,337,"1,246",334,0,314
,North Chungcheong Goesan-gun,691,130,343,159,0,20,0,39
,North Chungcheong Eumseong-gun,"3,535",589,"1,043",194,"1,285",340,35,49
,North Chungcheong Jeungpyong-gun,"1,761",102,341,0,"1,229",40,0,49
,North Chungcheong Danyang-gun,846,267,435,144,0,0,0,0
South Chungcheong,South Chungcheong Total,"79,979","7,701","9,398","2,707","41,131","15,018",70,"3,954"
,South Chungcheong Cheonan-si,"24,555","2,496",551,487,"13,191","6,654",70,"1,106"
,South Chungcheong Gongju-si,"2,918",520,463,211,"1,329",395,0,0
,South Chungcheong Boryeong-si,"2,780",314,547,234,"1,200",355,0,130
,South Chungcheong Asan-si,"17,644","1,302","1,004",153,"10,192","4,089",0,904
,South Chungcheong Seosan-si,"7,345",379,"1,086",260,"4,186","1,066",0,368
