Classification,,,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
Nation Total,,Total,"1,415,742 ","200,783 ","92,787 ","41,298 ","711,209 ","302,674 ","4,360 ","62,631 "
,,Male,"731,498 ","103,444 ","48,702 ","21,633 ","367,436 ","155,682 ","2,272 ","32,329 "
,,Female,"684,244 ","97,339 ","44,085 ","19,665 ","343,773 ","146,992 ","2,088 ","30,302 "
Seoul,Seoul Total,Total,"226,959 ","79,732 ","1,714 ","4,997 ","87,658 ","38,323 ",826 ,"13,709 "
,Seoul Total,Male,"116,643 ","40,850 ",927 ,"2,629 ","45,016 ","19,805 ",419 ,"6,997 "
,Seoul Total,Female,"110,316 ","38,882 ",787 ,"2,368 ","42,642 ","18,518 ",407 ,"6,712 "
,Seoul Jongno-gu,Total,"3,829 ","1,791 ",77 ,118 ,368 ,57 ,0 ,"1,418 "
,Seoul Jongno-gu,Male,"1,963 ",904 ,47 ,69 ,177 ,28 ,0 ,738 
,Seoul Jongno-gu,Female,"1,866 ",887 ,30 ,49 ,191 ,29 ,0 ,680 
,Seoul Jung-gu,Total,"3,500 ","1,702 ",0 ,319 ,335 ,228 ,0 ,916 
,Seoul Jung-gu,Male,"1,830 ",908 ,0 ,168 ,175 ,105 ,0 ,474 
,Seoul Jung-gu,Female,"1,670 ",794 ,0 ,151 ,160 ,123 ,0 ,442 
,Seoul Yongsan-gu,Total,"4,764 ","1,790 ",73 ,294 ,"1,162 ",838 ,29 ,578 
,Seoul Yongsan-gu,Male,"2,470 ",913 ,34 ,160 ,590 ,443 ,19 ,311 
,Seoul Yongsan-gu,Female,"2,294 ",877 ,39 ,134 ,572 ,395 ,10 ,267 
,Seoul Seongdong-gu,Total,"7,286 ","4,058 ",0 ,159 ,"1,664 ","1,184 ",0 ,221 
,Seoul Seongdong-gu,Male,"3,703 ","2,066 ",0 ,83 ,855 ,580 ,0 ,119 
,Seoul Seongdong-gu,Female,"3,583 ","1,992 ",0 ,76 ,809 ,604 ,0 ,102 
,Seoul Gwangjin-gu,Total,"7,548 ","2,303 ",0 ,20 ,"4,098 ",987 ,37 ,103 
,Seoul Gwangjin-gu,Male,"3,888 ","1,160 ",0 ,11 ,"2,106 ",540 ,20 ,51 
,Seoul Gwangjin-gu,Female,"3,660 ","1,143 ",0 ,9 ,"1,992 ",447 ,17 ,52 
,Seoul Dongdaemun-gu,Total,"7,997 ","3,293 ",0 ,163 ,"2,805 ","1,453 ",0 ,283 
,Seoul Dongdaemun-gu,Male,"4,079 ","1,647 ",0 ,86 ,"1,468 ",750 ,0 ,128 
,Seoul Dongdaemun-gu,Female,"3,918 ","1,646 ",0 ,77 ,"1,337 ",703 ,0 ,155 
,Seoul Jungnang-gu,Total,"9,986 ","2,982 ",0 ,254 ,"5,078 ","1,521 ",0 ,151 
,Seoul Jungnang-gu,Male,"5,161 ","1,534 ",0 ,137 ,"2,648 ",769 ,0 ,73 
,Seoul Jungnang-gu,Female,"4,825 ","1,448 ",0 ,117 ,"2,430 ",752 ,0 ,78 
,Seoul Seongbuk-gu,Total,"9,470 ","3,529 ",103 ,876 ,"3,056 ","1,670 ",34 ,202 
,Seoul Seongbuk-gu,Male,"4,871 ","1,822 ",58 ,456 ,"1,567 ",838 ,18 ,112 
,Seoul Seongbuk-gu,Female,"4,599 ","1,707 ",45 ,420 ,"1,489 ",832 ,16 ,90 
,Seoul Gangbuk-gu,Total,"7,260 ","2,253 ",73 ,116 ,"4,115 ",613 ,24 ,66 
,Seoul Gangbuk-gu,Male,"3,741 ","1,140 ",40 ,71 ,"2,103 ",337 ,11 ,39 
,Seoul Gangbuk-gu,Female,"3,519 ","1,113 ",33 ,45 ,"2,012 ",276 ,13 ,27 
,Seoul Dobong-gu,Total,"8,350 ","2,271 ",24 ,56 ,"4,207 ","1,631 ",28 ,133 
,Seoul Dobong-gu,Male,"4,312 ","1,169 ",13 ,26 ,"2,146 ",878 ,18 ,62 
,Seoul Dobong-gu,Female,"4,038 ","1,102 ",11 ,30 ,"2,061 ",753 ,10 ,71 
,Seoul Nowon-gu,Total,"11,689 ","3,977 ",168 ,0 ,"3,042 ","4,213 ",27 ,262 
,Seoul Nowon-gu,Male,"5,984 ","2,018 ",86 ,0 ,"1,561 ","2,170 ",18 ,131 
,Seoul Nowon-gu,Female,"5,705 ","1,959 ",82 ,0 ,"1,481 ","2,043 ",9 ,131 
,Seoul Eunpyeong-gu,Total,"11,719 ","2,579 ",63 ,195 ,"7,730 ","1,054 ",32 ,66 
,Seoul Eunpyeong-gu,Male,"6,020 ","1,358 ",37 ,92 ,"3,966 ",527 ,11 ,29 
,Seoul Eunpyeong-gu,Female,"5,699 ","1,221 ",26 ,103 ,"3,764 ",527 ,21 ,37 
,Seoul Seodaemun-gu,Total,"6,346 ","2,702 ",0 ,111 ,"2,281 ",819 ,16 ,417 
,Seoul Seodaemun-gu,Male,"3,239 ","1,393 ",0 ,59 ,"1,109 ",452 ,7 ,219 
,Seoul Seodaemun-gu,Female,"3,107 ","1,309 ",0 ,52 ,"1,172 ",367 ,9 ,198 
,Seoul Mapo-gu,Total,"8,224 ","3,819 ",0 ,179 ,"2,259 ","1,311 ",145 ,511 
,Seoul Mapo-gu,Male,"4,159 ","1,944 ",0 ,91 ,"1,121 ",679 ,76 ,248 
,Seoul Mapo-gu,Female,"4,065 ","1,875 ",0 ,88 ,"1,138 ",632 ,69 ,263 
,Seoul Yangcheon-gu,Total,"10,853 ","3,984 ",0 ,53 ,"4,048 ","2,491 ",16 ,261 
,Seoul Yangcheon-gu,Male,"5,577 ","2,072 ",0 ,27 ,"2,080 ","1,250 ",9 ,139 
,Seoul Yangcheon-gu,Female,"5,276 ","1,912 ",0 ,26 ,"1,968 ","1,241 ",7 ,122 
,Seoul Gangseo-gu,Total,"15,583 ","3,952 ",259 ,116 ,"7,196 ","3,347 ",66 ,647 
,Seoul Gangseo-gu,Male,"8,068 ","2,051 ",144 ,51 ,"3,710 ","1,732 ",33 ,347 
,Seoul Gangseo-gu,Female,"7,515 ","1,901 ",115 ,65 ,"3,486 ","1,615 ",33 ,300 
,Seoul Guro-gu,Total,"11,886 ","3,697 ",279 ,411 ,"4,675 ","2,395 ",107 ,322 
,Seoul Guro-gu,Male,"6,077 ","1,886 ",152 ,221 ,"2,356 ","1,250 ",46 ,166 
,Seoul Guro-gu,Female,"5,809 ","1,811 ",127 ,190 ,"2,319 ","1,145 ",61 ,156 
,Seoul Geumcheon-gu,Total,"6,722 ","2,357 ",220 ,549 ,"2,495 ",778 ,8 ,315 
,Seoul Geumcheon-gu,Male,"3,430 ","1,204 ",112 ,276 ,"1,277 ",400 ,3 ,158 
,Seoul Geumcheon-gu,Female,"3,292 ","1,153 ",108 ,273 ,"1,218 ",378 ,5 ,157 
,Seoul Yeongdeungpo-gu,Total,"10,469 ","3,299 ",104 ,40 ,"3,252 ","1,634 ",0 ,"2,140 "
,Seoul Yeongdeungpo-gu,Male,"5,339 ","1,653 ",57 ,22 ,"1,660 ",863 ,0 ,"1,084 "
,Seoul Yeongdeungpo-gu,Female,"5,130 ","1,646 ",47 ,18 ,"1,592 ",771 ,0 ,"1,056 "
,Seoul Dongjak-gu,Total,"8,398 ","3,368 ",86 ,92 ,"3,159 ","1,412 ",40 ,241 
,Seoul Dongjak-gu,Male,"4,333 ","1,738 ",51 ,55 ,"1,630 ",717 ,23 ,119 
,Seoul Dongjak-gu,Female,"4,065 ","1,630 ",35 ,37 ,"1,529 ",695 ,17 ,122 
,Seoul Gwanak-gu,Total,"9,820 ","3,806 ",27 ,365 ,"3,483 ","1,636 ",9 ,494 
,Seoul Gwanak-gu,Male,"5,044 ","1,945 ",15 ,211 ,"1,784 ",823 ,3 ,263 
,Seoul Gwanak-gu,Female,"4,776 ","1,861 ",12 ,154 ,"1,699 ",813 ,6 ,231 
,Seoul Seocho-gu,Total,"9,040 ","4,307 ",0 ,221 ,"1,900 ","1,103 ",72 ,"1,437 "
,Seoul Seocho-gu,Male,"4,595 ","2,201 ",0 ,113 ,973 ,569 ,39 ,700 
,Seoul Seocho-gu,Female,"4,445 ","2,106 ",0 ,108 ,927 ,534 ,33 ,737 
,Seoul Gangnam-gu,Total,"9,371 ","4,018 ",0 ,0 ,"3,022 ","1,076 ",61 ,"1,194 "
,Seoul Gangnam-gu,Male,"4,810 ","2,061 ",0 ,0 ,"1,547 ",560 ,27 ,615 
,Seoul Gangnam-gu,Female,"4,561 ","1,957 ",0 ,0 ,"1,475 ",516 ,34 ,579 
,Seoul Songpa-gu,Total,"15,307 ","4,329 ",76 ,149 ,"6,564 ","3,080 ",58 ,"1,051 "
,Seoul Songpa-gu,Male,"7,901 ","2,220 ",37 ,69 ,"3,441 ","1,573 ",33 ,528 
,Seoul Songpa-gu,Female,"7,406 ","2,109 ",39 ,80 ,"3,123 ","1,507 ",25 ,523 
,Seoul Gangdong-gu,Total,"11,542 ","3,566 ",82 ,141 ,"5,664 ","1,792 ",17 ,280 
,Seoul Gangdong-gu,Male,"6,049 ","1,843 ",44 ,75 ,"2,966 ",972 ,5 ,144 
