,,Classification,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,Nation Total,Total,"1,184,716","268,967","72,085","30,998","535,428","208,842","3,465","64,931"
,Nation Total,Male,"613,695","139,664","38,046","16,150","277,125","107,330","1,873","33,507"
,Nation Total,Female,"571,021","129,303","34,039","14,848","258,303","101,512","1,592","31,424"
Seoul,Seoul Total,Total,"182,922","85,501","1,187","3,873","54,604","23,846",661,"13,250"
,Seoul Total,Male,"94,903","44,396",641,"1,981","28,300","12,374",354,"6,857"
,Seoul Total,Female,"88,019","41,105",546,"1,892","26,304","11,472",307,"6,393"
,Seoul Jongno-gu,Total,"2,992","1,494",52,29,216,43,0,"1,158"
,Seoul Jongno-gu,Male,"1,537",781,20,15,113,15,0,593
,Seoul Jongno-gu,Female,"1,455",713,32,14,103,28,0,565
,Seoul Jung-gu,Total,"2,976","1,396",0,243,203,161,0,973
,Seoul Jung-gu,Male,"1,569",738,0,136,107,100,0,488
,Seoul Jung-gu,Female,"1,407",658,0,107,96,61,0,485
,Seoul Yongsan-gu,Total,"4,108","1,737",80,244,841,584,29,593
,Seoul Yongsan-gu,Male,"2,171",920,46,124,431,319,16,315
,Seoul Yongsan-gu,Female,"1,937",817,34,120,410,265,13,278
,Seoul Seongdong-gu,Total,"5,876","3,810",0,107,915,830,0,214
,Seoul Seongdong-gu,Male,"3,078","2,029",0,54,478,405,0,112
,Seoul Seongdong-gu,Female,"2,798","1,781",0,53,437,425,0,102
,Seoul Gwangjin-gu,Total,"5,499","2,484",0,0,"2,257",636,29,93
,Seoul Gwangjin-gu,Male,"2,843","1,246",0,0,"1,196",332,17,52
,Seoul Gwangjin-gu,Female,"2,656","1,238",0,0,"1,061",304,12,41
,Seoul Dongdaemun-gu,Total,"6,423","3,112",0,128,"2,008",986,0,189
,Seoul Dongdaemun-gu,Male,"3,295","1,615",0,65,"1,026",484,0,105
,Seoul Dongdaemun-gu,Female,"3,128","1,497",0,63,982,502,0,84
,Seoul Jungnang-gu,Total,"7,877","3,310",0,228,"3,298",874,21,146
,Seoul Jungnang-gu,Male,"4,075","1,715",0,115,"1,709",453,11,72
,Seoul Jungnang-gu,Female,"3,802","1,595",0,113,"1,589",421,10,74
,Seoul Seongbuk-gu,Total,"7,552","3,734",85,666,"1,794","1,065",41,167
,Seoul Seongbuk-gu,Male,"3,914","1,905",49,338,965,550,24,83
,Seoul Seongbuk-gu,Female,"3,638","1,829",36,328,829,515,17,84
,Seoul Gangbuk-gu,Total,"5,504","2,246",48,61,"2,793",268,37,51
,Seoul Gangbuk-gu,Male,"2,816","1,118",24,35,"1,447",149,16,27
,Seoul Gangbuk-gu,Female,"2,688","1,128",24,26,"1,346",119,21,24
,Seoul Dobong-gu,Total,"5,914","2,601",24,36,"2,266",788,23,176
,Seoul Dobong-gu,Male,"3,150","1,384",10,21,"1,199",433,15,88
,Seoul Dobong-gu,Female,"2,764","1,217",14,15,"1,067",355,8,88
,Seoul Nowon-gu,Total,"8,593","3,936",98,0,"2,026","2,306",7,220
,Seoul Nowon-gu,Male,"4,493","2,022",56,0,"1,087","1,213",5,110
,Seoul Nowon-gu,Female,"4,100","1,914",42,0,939,"1,093",2,110
,Seoul Eunpyeong-gu,Total,"9,378","3,651",0,229,"4,745",600,18,135
,Seoul Eunpyeong-gu,Male,"4,870","1,922",0,115,"2,457",301,8,67
,Seoul Eunpyeong-gu,Female,"4,508","1,729",0,114,"2,288",299,10,68
,Seoul Seodaemun-gu,Total,"5,476","2,798",0,65,"1,654",565,18,376
,Seoul Seodaemun-gu,Male,"2,815","1,480",0,31,815,294,11,184
,Seoul Seodaemun-gu,Female,"2,661","1,318",0,34,839,271,7,192
,Seoul Mapo-gu,Total,"7,025","3,932",0,132,"1,358",828,130,645
,Seoul Mapo-gu,Male,"3,623","1,990",0,77,703,452,64,337
,Seoul Mapo-gu,Female,"3,402","1,942",0,55,655,376,66,308
,Seoul Yangcheon-gu,Total,"8,291","3,938",0,39,"2,493","1,535",0,286
,Seoul Yangcheon-gu,Male,"4,293","2,037",0,18,"1,280",805,0,153
,Seoul Yangcheon-gu,Female,"3,998","1,901",0,21,"1,213",730,0,133
,Seoul Gangseo-gu,Total,"11,789","4,519",160,251,"4,072","2,003",56,728
,Seoul Gangseo-gu,Male,"6,037","2,257",87,118,"2,102","1,046",32,395
,Seoul Gangseo-gu,Female,"5,752","2,262",73,133,"1,970",957,24,333
,Seoul Guro-gu,Total,"9,583","4,479",210,258,"2,740","1,531",54,311
,Seoul Guro-gu,Male,"5,036","2,346",118,140,"1,428",800,29,175
,Seoul Guro-gu,Female,"4,547","2,133",92,118,"1,312",731,25,136
,Seoul Geumcheon-gu,Total,"5,172","2,281",171,411,"1,720",384,0,205
,Seoul Geumcheon-gu,Male,"2,676","1,189",93,203,886,192,0,113
,Seoul Geumcheon-gu,Female,"2,496","1,092",78,208,834,192,0,92
,Seoul Yeongdeungpo-gu,Total,"9,354","3,963",77,41,"2,025","1,153",0,"2,095"
,Seoul Yeongdeungpo-gu,Male,"4,806","2,055",39,19,"1,024",597,0,"1,072"
,Seoul Yeongdeungpo-gu,Female,"4,548","1,908",38,22,"1,001",556,0,"1,023"
,Seoul Dongjak-gu,Total,"6,782","3,656",17,56,"1,834",960,42,217
,Seoul Dongjak-gu,Male,"3,505","1,880",11,32,939,515,23,105
,Seoul Dongjak-gu,Female,"3,277","1,776",6,24,895,445,19,112
,Seoul Gwanak-gu,Total,"7,007","3,791",2,238,"1,775",775,6,420
,Seoul Gwanak-gu,Male,"3,635","1,994",2,124,909,385,3,218
,Seoul Gwanak-gu,Female,"3,372","1,797",0,114,866,390,3,202
,Seoul Seocho-gu,Total,"7,851","4,382",0,176,"1,255",663,55,"1,320"
,Seoul Seocho-gu,Male,"4,115","2,287",0,93,674,337,34,690
,Seoul Seocho-gu,Female,"3,736","2,095",0,83,581,326,21,630
,Seoul Gangnam-gu,Total,"7,618","3,895",0,0,"1,869",645,38,"1,171"
,Seoul Gangnam-gu,Male,"3,957","2,038",0,0,978,323,14,604
,Seoul Gangnam-gu,Female,"3,661","1,857",0,0,891,322,24,567
,Seoul Songpa-gu,Total,"13,761","5,733",83,101,"4,477","2,231",39,"1,097"
,Seoul Songpa-gu,Male,"7,180","3,024",43,53,"2,337","1,140",25,558
,Seoul Songpa-gu,Female,"6,581","2,709",40,48,"2,140","1,091",14,539
,Seoul Gangdong-gu,Total,"10,521","4,623",80,134,"3,970","1,432",18,264
,Seoul Gangdong-gu,Male,"5,414","2,424",43,55,"2,010",734,7,141
,Seoul Gangdong-gu,Female,"5,107","2,199",37,79,"1,960",698,11,123
Busan,Busan Total,Total,"61,611","14,605","4,589","1,859","28,392","9,334",222,"2,610"
,Busan Total,Male,"31,883","7,521","2,464",992,"14,699","4,739",115,"1,353"
,Busan Total,Female,"29,728","7,084","2,125",867,"13,693","4,595",107,"1,257"
,Busan Jung-gu,Total,615,203,39,0,270,38,0,65
,Busan Jung-gu,Male,314,107,24,0,131,23,0,29
,Busan Jung-gu,Female,301,96,15,0,139,15,0,36
,Busan Seo-gu,Total,"1,350",627,62,135,431,95,0,0
,Busan Seo-gu,Male,702,325,32,85,212,48,0,0
,Busan Seo-gu,Female,648,302,30,50,219,47,0,0
,Busan Dong-gu,Total,"1,348",457,179,103,429,56,0,124
,Busan Dong-gu,Male,727,239,101,50,245,25,0,67
,Busan Dong-gu,Female,621,218,78,53,184,31,0,57
,Busan Yeongdo-gu,Total,"1,724",731,80,273,464,89,0,87
,Busan Yeongdo-gu,Male,880,370,39,137,242,44,0,48
,Busan Yeongdo-gu,Female,844,361,41,136,222,45,0,39
,Busan Busanjin-gu,Total,"5,202","1,370",295,90,"2,263",705,27,452
,Busan Busanjin-gu,Male,"2,673",694,167,53,"1,157",358,15,229
,Busan Busanjin-gu,Female,"2,529",676,128,37,"1,106",347,12,223
,Busan Dongnae-gu,Total,"5,116","1,632",252,0,"2,552",473,63,144
,Busan Dongnae-gu,Male,"2,678",874,117,0,"1,324",242,38,83
,Busan Dongnae-gu,Female,"2,438",758,135,0,"1,228",231,25,61
,Busan Nam-gu,Total,"4,298","1,010",343,38,"1,816",762,54,275
,Busan Nam-gu,Male,"2,238",522,200,20,949,384,27,136
,Busan Nam-gu,Female,"2,060",488,143,18,867,378,27,139
,Busan Buk-gu,Total,"5,326",688,322,0,"3,180","1,099",26,11
,Busan Buk-gu,Male,"2,759",350,178,0,"1,685",531,9,6
,Busan Buk-gu,Female,"2,567",338,144,0,"1,495",568,17,5
,Busan Haeundae-gu,Total,"6,492","1,159",679,69,"3,310","1,068",0,207
,Busan Haeundae-gu,Male,"3,333",584,358,38,"1,708",532,0,113
,Busan Haeundae-gu,Female,"3,159",575,321,31,"1,602",536,0,94
,Busan Saha-gu,Total,"6,022","1,546",448,494,"2,581",887,0,66
,Busan Saha-gu,Male,"3,133",796,248,268,"1,340",446,0,35
,Busan Saha-gu,Female,"2,889",750,200,226,"1,241",441,0,31
,Busan Geumjeong-gu,Total,"3,441",853,238,53,"1,755",356,11,175
,Busan Geumjeong-gu,Male,"1,792",449,126,23,927,179,5,83
,Busan Geumjeong-gu,Female,"1,649",404,112,30,828,177,6,92
,Busan Gangseo-gu,Total,"5,164",742,540,0,"2,099","1,380",0,403
,Busan Gangseo-gu,Male,"2,675",387,286,0,"1,078",713,0,211
,Busan Gangseo-gu,Female,"2,489",355,254,0,"1,021",667,0,192
,Busan Yeonje-gu,Total,"3,788",817,201,260,"1,902",351,0,257
,Busan Yeonje-gu,Male,"1,973",433,90,134,995,187,0,134
,Busan Yeonje-gu,Female,"1,815",384,111,126,907,164,0,123
,Busan Suyeong-gu,Total,"2,795",666,372,151,"1,387",208,0,11
,Busan Suyeong-gu,Male,"1,473",361,204,80,729,91,0,8
,Busan Suyeong-gu,Female,"1,322",305,168,71,658,117,0,3
,Busan Sasang-gu,Total,"3,336",894,127,193,"1,438",678,0,6
,Busan Sasang-gu,Male,"1,725",450,75,104,726,367,0,3
,Busan Sasang-gu,Female,"1,611",444,52,89,712,311,0,3
,Busan Gijang-gun,Total,"5,594","1,210",412,0,"2,515","1,089",41,327
,Busan Gijang-gun,Male,"2,808",580,219,0,"1,251",569,21,168
,Busan Gijang-gun,Female,"2,786",630,193,0,"1,264",520,20,159
Daegu,Daegu Total,Total,"46,211","9,414","7,777",903,"21,399","4,846",76,"1,796"
,Daegu Total,Male,"24,046","4,900","4,170",478,"11,121","2,422",40,915
,Daegu Total,Female,"22,165","4,514","3,607",425,"10,278","2,424",36,881
,Daegu Jung-gu,Total,"1,341",321,235,59,483,116,0,127
,Daegu Jung-gu,Male,687,153,107,31,274,54,0,68
,Daegu Jung-gu,Female,654,168,128,28,209,62,0,59
,Daegu Dong-gu,Total,"6,871","1,112",868,75,"3,735",657,14,410
,Daegu Dong-gu,Male,"3,564",556,453,35,"1,979",323,4,214
,Daegu Dong-gu,Female,"3,307",556,415,40,"1,756",334,10,196
,Daegu Seo-gu,Total,"2,969",761,187,152,"1,644",190,0,35
,Daegu Seo-gu,Male,"1,560",393,114,74,853,112,0,14
,Daegu Seo-gu,Female,"1,409",368,73,78,791,78,0,21
,Daegu Nam-gu,Total,"2,041",376,750,161,608,67,16,63
,Daegu Nam-gu,Male,"1,095",196,404,89,334,34,9,29
,Daegu Nam-gu,Female,946,180,346,72,274,33,7,34
,Daegu Buk-gu,Total,"8,812","1,430","1,459",83,"4,497","1,124",12,207
,Daegu Buk-gu,Male,"4,607",766,796,41,"2,311",572,3,118
,Daegu Buk-gu,Female,"4,205",664,663,42,"2,186",552,9,89
,Daegu Suseong-gu,Total,"6,089","1,598","2,034",178,"1,477",367,24,411
,Daegu Suseong-gu,Male,"3,214",863,"1,062",110,775,186,16,202
,Daegu Suseong-gu,Female,"2,875",735,972,68,702,181,8,209
,Daegu Dalseo-gu,Total,"10,126","1,817","1,378",195,"5,048","1,375",0,313
,Daegu Dalseo-gu,Male,"5,267",952,766,98,"2,608",675,0,168
,Daegu Dalseo-gu,Female,"4,859",865,612,97,"2,440",700,0,145
,Daegu Dalseong-gun,Total,"7,962","1,999",866,0,"3,907",950,10,230
,Daegu Dalseong-gun,Male,"4,052","1,021",468,0,"1,987",466,8,102
,Daegu Dalseong-gun,Female,"3,910",978,398,0,"1,920",484,2,128
Incheon,Incheon Total,Total,"65,663","12,299",728,733,"35,332","12,713",82,"3,776"
,Incheon Total,Male,"34,166","6,480",381,375,"18,288","6,607",45,"1,990"
,Incheon Total,Female,"31,497","5,819",347,358,"17,044","6,106",37,"1,786"
,Incheon Jung-gu,Total,"3,833","1,102",59,0,862,866,0,944
,Incheon Jung-gu,Male,"1,991",562,37,0,434,443,0,515
,Incheon Jung-gu,Female,"1,842",540,22,0,428,423,0,429
,Incheon Dong-gu,Total,"1,242",502,0,0,476,155,0,109
,Incheon Dong-gu,Male,643,263,0,0,259,74,0,47
,Incheon Dong-gu,Female,599,239,0,0,217,81,0,62
,Incheon Michuhol-gu,Total,"8,424","1,272",174,189,"5,324","1,143",0,322
,Incheon Michuhol-gu,Male,"4,389",653,81,95,"2,770",612,0,178
,Incheon Michuhol-gu,Female,"4,035",619,93,94,"2,554",531,0,144
,Incheon Yeonsu-gu,Total,"9,336","2,584",0,47,"3,474","2,439",0,792
,Incheon Yeonsu-gu,Male,"4,850","1,364",0,24,"1,847","1,226",0,389
,Incheon Yeonsu-gu,Female,"4,486","1,220",0,23,"1,627","1,213",0,403
,Incheon Namdong-gu,Total,"11,004","2,154",181,117,"6,218","1,960",0,374
,Incheon Namdong-gu,Male,"5,752","1,133",91,64,"3,247","1,024",0,193
,Incheon Namdong-gu,Female,"5,252","1,021",90,53,"2,971",936,0,181
,Incheon Bupyong-gu,Total,"10,387","1,373",266,61,"6,151","2,003",46,487
,Incheon Bupyong-gu,Male,"5,421",744,142,30,"3,145","1,081",25,254
,Incheon Bupyong-gu,Female,"4,966",629,124,31,"3,006",922,21,233
,Incheon Gyeyang-gu,Total,"6,054",731,0,0,"4,293",938,13,79
,Incheon Gyeyang-gu,Male,"3,130",390,0,0,"2,192",497,7,44
,Incheon Gyeyang-gu,Female,"2,924",341,0,0,"2,101",441,6,35
,Incheon Seo-gu,Total,"14,427","2,041",48,260,"8,288","3,195",23,572
,Incheon Seo-gu,Male,"7,487","1,096",30,131,"4,261","1,640",13,316
,Incheon Seo-gu,Female,"6,940",945,18,129,"4,027","1,555",10,256
,Incheon Ganghwa-gun,Total,665,344,0,59,212,14,0,36
,Incheon Ganghwa-gun,Male,349,167,0,31,116,10,0,25
,Incheon Ganghwa-gun,Female,316,177,0,28,96,4,0,11
,Incheon Ongjin-gun,Total,291,196,0,0,34,0,0,61
,Incheon Ongjin-gun,Male,154,108,0,0,17,0,0,29
,Incheon Ongjin-gun,Female,137,88,0,0,17,0,0,32
Gwangju,Gwangju Total,Total,"34,561","4,945","5,513","1,108","15,823","5,684",75,"1,413"
,Gwangju Total,Male,"17,925","2,603","2,978",572,"8,105","2,923",34,710
,Gwangju Total,Female,"16,636","2,342","2,535",536,"7,718","2,761",41,703
,Gwangju Dong-gu,Total,"2,390",466,394,79,972,145,0,334
,Gwangju Dong-gu,Male,"1,252",238,211,40,517,74,0,172
,Gwangju Dong-gu,Female,"1,138",228,183,39,455,71,0,162
,Gwangju Seo-gu,Total,"5,782",831,884,58,"2,433","1,276",0,300
,Gwangju Seo-gu,Male,"2,987",444,514,25,"1,209",647,0,148
,Gwangju Seo-gu,Female,"2,795",387,370,33,"1,224",629,0,152
,Gwangju Nam-gu,Total,"4,544",616,"1,068",416,"1,843",534,13,54
,Gwangju Nam-gu,Male,"2,343",311,565,221,941,275,4,26
,Gwangju Nam-gu,Female,"2,201",305,503,195,902,259,9,28
,Gwangju Buk-gu,Total,"10,046","1,335","1,825",464,"4,476","1,511",0,435
,Gwangju Buk-gu,Male,"5,192",703,991,238,"2,284",752,0,224
,Gwangju Buk-gu,Female,"4,854",632,834,226,"2,192",759,0,211
,Gwangju Gwangsan-gu,Total,"11,799","1,697","1,342",91,"6,099","2,218",62,290
,Gwangju Gwangsan-gu,Male,"6,151",907,697,48,"3,154","1,175",30,140
,Gwangju Gwangsan-gu,Female,"5,648",790,645,43,"2,945","1,043",32,150
Daejeon,Daejeon Total,Total,"31,177","4,201","2,262",396,"11,203","9,285",117,"3,713"
,Daejeon Total,Male,"16,136","2,241","1,159",217,"5,867","4,703",63,"1,886"
,Daejeon Total,Female,"15,041","1,960","1,103",179,"5,336","4,582",54,"1,827"
,Daejeon Dong-gu,Total,"4,583",886,582,117,"1,850","1,016",15,117
,Daejeon Dong-gu,Male,"2,447",494,307,77,973,527,8,61
,Daejeon Dong-gu,Female,"2,136",392,275,40,877,489,7,56
,Daejeon Jung-gu,Total,"4,024",766,278,86,"1,695","1,042",27,130
,Daejeon Jung-gu,Male,"2,027",392,136,44,882,504,14,55
,Daejeon Jung-gu,Female,"1,997",374,142,42,813,538,13,75
,Daejeon Seo-gu,Total,"9,400",855,413,45,"3,454","3,575",19,"1,039"
,Daejeon Seo-gu,Male,"4,857",470,206,19,"1,812","1,803",11,536
,Daejeon Seo-gu,Female,"4,543",385,207,26,"1,642","1,772",8,503
,Daejeon Yuseong-gu,Total,"9,767",815,690,74,"3,170","2,707",56,"2,255"
,Daejeon Yuseong-gu,Male,"5,073",429,356,40,"1,663","1,411",30,"1,144"
,Daejeon Yuseong-gu,Female,"4,694",386,334,34,"1,507","1,296",26,"1,111"
,Daejeon Daedeok-gu,Total,"3,403",879,299,74,"1,034",945,0,172
,Daejeon Daedeok-gu,Male,"1,732",456,154,37,537,458,0,90
,Daejeon Daedeok-gu,Female,"1,671",423,145,37,497,487,0,82
Ulsan,Ulsan Total,Total,"27,328","4,345",720,332,"16,280","3,656",196,"1,799"
,Ulsan Total,Male,"14,279","2,284",386,176,"8,443","1,906",114,970
,Ulsan Total,Female,"13,049","2,061",334,156,"7,837","1,750",82,829
,Ulsan Jung-gu,Total,"4,596",321,155,0,"3,138",436,0,546
,Ulsan Jung-gu,Male,"2,424",176,92,0,"1,647",228,0,281
,Ulsan Jung-gu,Female,"2,172",145,63,0,"1,491",208,0,265
,Ulsan Nam-gu,Total,"6,201","1,112",20,0,"3,456","1,130",169,314
,Ulsan Nam-gu,Male,"3,221",578,8,0,"1,777",587,99,172
,Ulsan Nam-gu,Female,"2,980",534,12,0,"1,679",543,70,142
,Ulsan Dong-gu,Total,"4,550",607,0,0,"3,079",540,0,324
